epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,2.923647393965082,2.5128537284003363,1.1425985,0.7496325,0.53361565,0.808615505695343,1.6000000000000003e-05
1,2.273749086853479,2.0858822988741323,1.0487167,0.6726357,0.4793375,0.733563244342804,1.6000000000000003e-05
2,1.7610925563804185,1.809164219432407,0.9774187,0.6224241,0.4406736,0.6801721453666687,1.6000000000000003e-05
3,1.4056540997475595,1.6621549400416287,0.92051417,0.6065851,0.41654566,0.6478816270828247,1.6000000000000003e-05
4,1.1474445672398395,1.4488668568206555,0.849775,0.56784666,0.38278633,0.6001359820365906,1.6000000000000003e-05
5,0.9603351952326818,1.3784905419205173,0.8457082,0.5383525,0.37439653,0.5861523747444153,1.6000000000000003e-05
6,0.8160559102913892,1.2700706136347069,0.7967149,0.52146703,0.3578195,0.5586671829223633,1.6000000000000003e-05
7,0.6952705241645173,1.1916271424052691,0.7751841,0.49912298,0.3435362,0.5392810702323914,1.6000000000000003e-05
8,0.6144672822212467,1.1464687962122637,0.7644083,0.48331678,0.3370314,0.528252124786377,1.6000000000000003e-05
9,0.5397881206823841,1.0981731481022305,0.75140136,0.4643683,0.33181134,0.5158603191375732,1.6000000000000003e-05
10,0.47933504288051965,1.0548628065923247,0.72672564,0.4651767,0.3187257,0.5035427212715149,1.6000000000000003e-05
11,0.43141000454113076,1.0057658161779848,0.71240103,0.44670746,0.31188512,0.4903312027454376,1.6000000000000003e-05
12,0.3893419278231259,0.9609972322830046,0.6954566,0.43132222,0.30542067,0.4773998260498047,1.6000000000000003e-05
13,0.35685665468318845,0.963730926164473,0.70521694,0.42992136,0.30377257,0.47963693737983704,1.6000000000000003e-05
14,0.3218479049096491,0.9524940116838976,0.66875154,0.44477367,0.30366012,0.4723950922489166,1.6000000000000003e-05
15,0.29901927488899366,0.9475331833266248,0.68232244,0.42829913,0.30794922,0.47285690903663635,1.6000000000000003e-05
16,0.272879218979514,0.8967459033233951,0.6730099,0.41261315,0.2922301,0.45928439497947693,1.6000000000000003e-05
17,0.25691319893840675,0.8851280462260198,0.6639988,0.4096491,0.29199925,0.4552156925201416,1.6000000000000003e-05
18,0.23813174660770783,0.8647698886466749,0.64223266,0.41365296,0.2867111,0.44753220677375793,1.6000000000000003e-05
19,0.22101239511173099,0.8553827672895759,0.6323488,0.41326734,0.286002,0.44387272000312805,1.6000000000000003e-05
20,0.20632522975650258,0.8544962972101539,0.64501345,0.40943232,0.28260356,0.445683091878891,1.6000000000000003e-05
21,0.19116485180866566,0.8106702051379464,0.62663573,0.399217,0.27014202,0.43199825286865234,1.6000000000000003e-05
22,0.18111960579377134,0.816961653605856,0.63276494,0.39652556,0.27323455,0.4341750144958496,1.6000000000000003e-05
23,0.1665659369782601,0.8177734649542606,0.6180292,0.4058069,0.27503774,0.4329579770565033,1.6000000000000003e-05
24,0.15447711828985738,0.7700906097888947,0.6156805,0.37699974,0.2660703,0.4195835292339325,1.6000000000000003e-05
