epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,3.147602946869241,3.019686617032446,1.2455823,0.80868185,0.6089745,0.8877461552619934,1.6000000000000003e-05
1,3.0594625368777386,2.9675528678027066,1.2294866,0.79827124,0.6085302,0.8787627220153809,1.6000000000000003e-05
2,2.9769773664864565,2.9378411649453517,1.2348592,0.79890907,0.594596,0.8761213421821594,1.6000000000000003e-05
3,2.8743863105773926,2.7406774313762936,1.1972698,0.77014214,0.5698003,0.8457374572753906,1.6000000000000003e-05
4,2.7312349459348177,2.637969562501618,1.1801279,0.76690626,0.545704,0.8309127688407898,1.6000000000000003e-05
5,2.577908287767967,2.5605716885942402,1.1573784,0.74590725,0.5458216,0.8163691163063049,1.6000000000000003e-05
6,2.406252598897022,2.384678433639835,1.1041603,0.72384167,0.52679175,0.7849312424659729,1.6000000000000003e-05
7,2.2567695397752296,2.324763263114775,1.0855474,0.7154034,0.52177954,0.7742434144020081,1.6000000000000003e-05
8,2.123612971164612,2.0662906422759546,1.0471812,0.6662868,0.4787026,0.7307235598564148,1.6000000000000003e-05
9,1.9876859830364018,2.1341568159334585,1.0585215,0.67791784,0.4900665,0.7421686053276062,1.6000000000000003e-05
10,1.8817162895404402,1.9743757777743869,1.011014,0.6586871,0.46561846,0.711773157119751,1.6000000000000003e-05
11,1.7585972006129278,2.0049646394421354,1.0595608,0.65672743,0.45288557,0.7230579257011414,1.6000000000000003e-05
12,1.6742746700520912,2.561432062977492,1.1480286,0.777496,0.52564245,0.8170557022094727,1.6000000000000003e-05
13,1.5982973650413104,1.7816722272622465,0.9929227,0.61501163,0.42656443,0.6781662106513977,1.6000000000000003e-05
14,1.513024035394612,1.8576162054081156,1.0055265,0.63107544,0.44012034,0.6922407150268555,1.6000000000000003e-05
15,1.429485120541286,1.7535777657923073,0.95108324,0.61438805,0.43677604,0.6674157977104187,1.6000000000000003e-05
16,1.370304703376189,1.8566608573451187,0.97065437,0.6312932,0.45721096,0.6863861680030823,1.6000000000000003e-05
17,1.305192713761027,1.8926885802336413,0.98627585,0.64344484,0.45590553,0.695208728313446,1.6000000000000003e-05
18,1.252796816556847,1.7146570321285364,1.017233,0.58173996,0.4054793,0.6681507229804993,1.6000000000000003e-05
19,1.1887263843976223,1.6630528551159482,0.90747297,0.5947364,0.4350963,0.6457685828208923,1.6000000000000003e-05
20,1.145506774168593,2.0271776998885955,0.96136177,0.6583494,0.51117796,0.7102963924407959,1.6000000000000003e-05
21,1.0995484424915234,1.5924453783516932,0.90939504,0.5836178,0.41037974,0.6344642043113708,1.6000000000000003e-05
22,1.0571493271880157,1.6815600118251761,1.0021355,0.54490036,0.4306352,0.659223735332489,1.6000000000000003e-05
23,1.0098124705517746,1.6285963371546581,0.8942657,0.5844001,0.43521672,0.6379608511924744,1.6000000000000003e-05
24,0.9679745956940106,1.5769192371705565,0.8908349,0.5901478,0.40636003,0.6291142702102661,1.6000000000000003e-05
25,0.9319345554696824,1.7221329164023351,0.89506954,0.64643663,0.42448735,0.6553311944007874,1.6000000000000003e-05
26,0.9104463096566193,1.4974900207134207,0.8992032,0.5563902,0.39161175,0.6157350540161133,1.6000000000000003e-05
27,0.8757616505552246,1.6688731944922246,0.8802006,0.62072426,0.43084446,0.6439231038093567,1.6000000000000003e-05
28,0.8460092197352304,1.3820759858747926,0.86048037,0.52629983,0.37956172,0.5887806415557861,1.6000000000000003e-05
29,0.8155622227992259,1.4751971141256468,0.91258556,0.5395521,0.38524914,0.6124622821807861,1.6000000000000003e-05
30,0.7866876514993703,1.5545582969983418,0.93730974,0.5823327,0.3757508,0.631797730922699,1.6000000000000003e-05
31,0.7582789886905713,1.6719267729556921,1.0091169,0.56770116,0.40150777,0.6594418883323669,1.6000000000000003e-05
32,0.7331660054046109,1.6905488498283154,0.83844745,0.6567611,0.42880645,0.6413382887840271,1.6000000000000003e-05
33,0.7137697811523512,1.3779203964002205,0.87391514,0.52838194,0.36723277,0.5898432731628418,1.6000000000000003e-05
34,0.6984271265471772,1.3011002101079383,0.83216566,0.5032041,0.37005872,0.5684762001037598,1.6000000000000003e-05
35,0.6681574245938461,1.3829402977770024,0.8173947,0.539106,0.39255938,0.583020031452179,1.6000000000000003e-05
36,0.6372979585979822,1.742614036858684,0.8484872,0.66399294,0.4386776,0.6503859162330627,1.6000000000000003e-05
37,0.6291306932234798,1.2695420631254561,0.79093623,0.5236434,0.35959357,0.5580577254295349,1.6000000000000003e-05
38,0.6198496225438435,1.3129702686059355,0.8299579,0.51461977,0.36812147,0.5708997249603271,1.6000000000000003e-05
39,0.594708783922478,1.2935837386834501,0.82199776,0.5157716,0.36262122,0.5667968392372131,1.6000000000000003e-05
40,0.5730397536068609,1.2351829704612192,0.8072494,0.50466067,0.3452716,0.552393913269043,1.6000000000000003e-05
