epoch,train_loss,public_loss,pub_rmse_val,pub_rmse_aro,pub_rmse_dom,pub_rmse_mean,lr
0,2.9190702875511265,2.512464731630653,1.1471275,0.7473208,0.5330052,0.8091511726379395,1.6000000000000003e-05
1,2.24785744320018,2.1011110014385648,1.0763291,0.6717807,0.47241446,0.7401747703552246,1.6000000000000003e-05
2,1.729479058841388,1.7879714267422455,0.9583145,0.6307774,0.43420708,0.6744329929351807,1.6000000000000003e-05
3,1.383062791084537,1.6428653868761929,0.93630946,0.59495246,0.4093453,0.6468690633773804,1.6000000000000003e-05
4,1.1292676821414103,1.4886828131145902,0.8664898,0.5679265,0.39481643,0.6097442507743835,1.6000000000000003e-05
5,0.9452860449534041,1.3479132947295602,0.832665,0.53774357,0.3660937,0.578834056854248,1.6000000000000003e-05
6,0.8085332366155804,1.3090949124760098,0.8011617,0.5294849,0.36981988,0.5668221712112427,1.6000000000000003e-05
7,0.6934821816694585,1.2275371449162262,0.7919888,0.5046239,0.35080874,0.5491405129432678,1.6000000000000003e-05
8,0.6087296937601523,1.1794665407652807,0.76450604,0.48894504,0.3525461,0.5353323817253113,1.6000000000000003e-05
9,0.541521287897578,1.0771695435649218,0.7323768,0.46633244,0.3289811,0.5092301368713379,1.6000000000000003e-05
10,0.48323079485482995,1.0450418073721606,0.72850245,0.4535554,0.32222807,0.5014286637306213,1.6000000000000003e-05
11,0.42915385450815785,1.009626369283657,0.71112674,0.44480875,0.3175819,0.4911724627017975,1.6000000000000003e-05
12,0.3877315919515276,1.0238689343736629,0.7087586,0.45165023,0.32267243,0.49436044692993164,1.6000000000000003e-05
13,0.3566274853746377,0.990954397603719,0.70011836,0.4398783,0.31559613,0.4851975739002228,1.6000000000000003e-05
14,0.320076499423288,0.9655620967498934,0.6699496,0.4435886,0.3135456,0.4756946265697479,1.6000000000000003e-05
15,0.2944928751930027,0.9304089407728175,0.66723925,0.431546,0.30256963,0.4671182930469513,1.6000000000000003e-05
16,0.2723813663710996,0.9458932611677382,0.6727729,0.43372384,0.3079002,0.4714656174182892,1.6000000000000003e-05
17,0.25410354652340894,0.9048139296396814,0.6651327,0.41745272,0.2982415,0.46027565002441406,1.6000000000000003e-05
18,0.23619145423972557,0.8846608120383639,0.6515181,0.4131862,0.2958006,0.4535016119480133,1.6000000000000003e-05
19,0.21736098309960453,0.8565954126492895,0.6257554,0.41288057,0.2916677,0.44343456625938416,1.6000000000000003e-05
20,0.20326131420428056,0.8414037591881223,0.62495863,0.4128407,0.28207907,0.43995949625968933,1.6000000000000003e-05
21,0.19171516154859902,0.8314263053012617,0.6173714,0.40673482,0.28384992,0.43598541617393494,1.6000000000000003e-05
22,0.1837070186652653,0.8253904379377461,0.5986621,0.41113803,0.28581947,0.4318731725215912,1.6000000000000003e-05
23,0.16895077998614613,0.8129591113991208,0.6021481,0.40843016,0.2782418,0.42960667610168457,1.6000000000000003e-05
24,0.15802338606926214,0.7760099425460353,0.5957619,0.38795564,0.27255484,0.41875746846199036,1.6000000000000003e-05
25,0.1496014640323702,0.7661537151746075,0.59848493,0.38313994,0.2677827,0.41646918654441833,1.6000000000000003e-05
26,0.1419256736218341,0.7851096831186853,0.5839941,0.4002425,0.2744058,0.4195474684238434,1.6000000000000003e-05
27,0.13059745416864857,0.7661797988294351,0.5561971,0.40777853,0.26861942,0.41086503863334656,1.6000000000000003e-05
28,0.12412433816469438,0.7624284405298908,0.5793459,0.3879736,0.2712776,0.4128657281398773,1.6000000000000003e-05
29,0.12278769714876021,0.7323776239698584,0.5664228,0.38341686,0.25969136,0.40317702293395996,1.6000000000000003e-05
30,0.10941470578859319,0.7263950976458463,0.5707965,0.37641832,0.2583487,0.4018545150756836,1.6000000000000003e-05
31,0.10311032346172629,0.7023123270935483,0.55579245,0.37182093,0.25205693,0.39322343468666077,1.6000000000000003e-05
32,0.09937527124232735,0.7201673739185237,0.56271946,0.37901193,0.25559393,0.3991084396839142,1.6000000000000003e-05
33,0.0911447734208134,0.7103347981517966,0.56726885,0.36958078,0.25449514,0.39711490273475647,1.6000000000000003e-05
34,0.08707177337936857,0.6956966587088325,0.5433458,0.37146088,0.25476465,0.38985714316368103,1.6000000000000003e-05
35,0.08241364541654021,0.7210411709366422,0.5670925,0.37500605,0.25801337,0.4000372886657715,1.6000000000000003e-05
36,0.08188043745452661,0.7276920911037561,0.5709289,0.3752314,0.26117617,0.4024454653263092,1.6000000000000003e-05
37,0.07699478058241654,0.7011634185157641,0.5591097,0.36934742,0.25099888,0.39315199851989746,1.6000000000000003e-05
38,0.07550078710049853,0.6646847354643273,0.5456562,0.35467955,0.24308683,0.3811408579349518,1.6000000000000003e-05
39,0.06614718937192884,0.6896465023358663,0.5488179,0.3652537,0.25247172,0.3888477385044098,1.6000000000000003e-05
40,0.06701431183304705,0.6897031696456851,0.54057395,0.37356547,0.24956763,0.3879023492336273,1.6000000000000003e-05
41,0.06579148886549288,0.6959575098572355,0.54644245,0.37333998,0.2514892,0.39042386412620544,1.6000000000000003e-05
42,0.06028905199060403,0.6703226330003353,0.5364485,0.36137155,0.2467739,0.38153132796287537,1.6000000000000003e-05
43,0.059045109330388826,0.7111097451562833,0.55792713,0.37346575,0.25624314,0.3958786725997925,1.6000000000000003e-05
44,0.06369913899837579,0.6928474644217828,0.56004095,0.36601236,0.24816062,0.3914046287536621,1.6000000000000003e-05
45,0.060370379790915925,0.6827626770192926,0.53524,0.37030452,0.24890012,0.38481488823890686,1.6000000000000003e-05
46,0.05519012624479315,0.6914453222745597,0.5457908,0.3737005,0.24737756,0.3889562785625458,1.6000000000000003e-05
47,0.05372059317923063,0.6765733949764811,0.5373802,0.36645383,0.24627453,0.3833695352077484,8.000000000000001e-06
48,0.039908981993689356,0.6583367543991165,0.53112876,0.35952234,0.24180247,0.377484530210495,8.000000000000001e-06
49,0.03366414779384735,0.6600623483007605,0.53133327,0.36100963,0.2415893,0.3779774010181427,8.000000000000001e-06
50,0.031073938588886317,0.6484465407903748,0.5273775,0.35607597,0.23857261,0.3740086853504181,8.000000000000001e-06
51,0.030748141769251468,0.6483171467829232,0.5248097,0.3565695,0.23911679,0.37349867820739746,8.000000000000001e-06
52,0.02904834765783276,0.6552824901059421,0.5271826,0.35925785,0.24131694,0.3759191036224365,8.000000000000001e-06
53,0.029268615473224683,0.6646234709957634,0.53183794,0.3635478,0.24268621,0.37935733795166016,8.000000000000001e-06
54,0.02810375126701358,0.6596082654414754,0.52446496,0.36210093,0.2438027,0.37678954005241394,8.000000000000001e-06
55,0.026812296438231874,0.6614956058034993,0.5389233,0.3604856,0.23938815,0.379599004983902,8.000000000000001e-06
56,0.027011300945504763,0.6598308376892649,0.52692163,0.36317846,0.24235055,0.3774835765361786,8.000000000000001e-06
57,0.025331420328715035,0.6465447361421104,0.5280749,0.35344055,0.23950641,0.3736739456653595,4.000000000000001e-06
58,0.023734439733176793,0.6522249803699628,0.52371377,0.35812366,0.24189784,0.37457844614982605,4.000000000000001e-06
59,0.02083054015200128,0.6436998604825048,0.52123207,0.35159895,0.24158894,0.3714733123779297,4.000000000000001e-06
60,0.02040500089405328,0.641650514018656,0.5252021,0.3508401,0.23852532,0.3715225160121918,4.000000000000001e-06
61,0.019058602929052242,0.6386984102804252,0.51561314,0.3545298,0.23845728,0.3695334196090698,4.000000000000001e-06
62,0.01850278063694328,0.6352904889017644,0.52112055,0.34932622,0.23691633,0.3691210448741913,4.000000000000001e-06
63,0.019723766022302705,0.6385500446865053,0.5188665,0.35258287,0.2382107,0.3698866665363312,4.000000000000001e-06
64,0.01837952921695072,0.637186226068121,0.521986,0.34902653,0.23859902,0.36987054347991943,4.000000000000001e-06
65,0.017767657599397454,0.6381115565697352,0.521009,0.35028636,0.23860642,0.3699672520160675,4.000000000000001e-06
66,0.016775795780069738,0.6392140144651587,0.5174867,0.35201877,0.24022608,0.36991050839424133,2.0000000000000003e-06
67,0.016344051761487014,0.6356836701884414,0.5135069,0.35045433,0.24041131,0.3681241571903229,2.0000000000000003e-06
68,0.01567097177679095,0.6368808768915407,0.5141854,0.3520326,0.23955554,0.36859118938446045,2.0000000000000003e-06
69,0.015041336417198181,0.6282715794413981,0.5148497,0.34740725,0.23640952,0.36622217297554016,2.0000000000000003e-06
70,0.01523942215701799,0.6337790652507483,0.5117361,0.35041443,0.2397161,0.36728885769844055,2.0000000000000003e-06
71,0.014931823758799872,0.6381654174941959,0.5121561,0.35367152,0.24054733,0.3687916696071625,2.0000000000000003e-06
72,0.014925930696987508,0.6246835698533539,0.5124908,0.34647092,0.23559426,0.3648519814014435,2.0000000000000003e-06
73,0.01472269230271323,0.6272556169165505,0.51332474,0.34837294,0.23549259,0.36573007702827454,2.0000000000000003e-06
74,0.014268231680629873,0.63289717276289,0.51160735,0.35196152,0.23813571,0.36723485589027405,2.0000000000000003e-06
75,0.014021095710088024,0.6185224674867861,0.50608313,0.3481962,0.23249693,0.36225876212120056,2.0000000000000003e-06
76,0.014009382011571161,0.6279051166893256,0.5123209,0.35059613,0.23492354,0.36594685912132263,2.0000000000000003e-06
77,0.014232483579500018,0.6273931186608593,0.5125522,0.34780505,0.23650876,0.36562201380729675,1.0000000000000002e-06
78,0.013701549343034436,0.6343104533775888,0.5138947,0.35048437,0.23898704,0.367788702249527,1.0000000000000002e-06
79,0.013482706060393992,0.6237803739730758,0.509659,0.34741434,0.2350907,0.36405467987060547,1.0000000000000002e-06
